Frequency(Hz),R(ohm),X(ohm),V(V),SoC(%)
81,0.0546074,-0.00673649,3.221,10
100,0.0535918,-0.00667105,3.22098,10
110,0.0531343,-0.00664467,3.22101,10
210,0.0499793,-0.00608597,3.221,10
310,0.0481846,-0.00540508,3.221,10
510,0.0460259,-0.00410178,3.221,10
810,0.0442149,-0.00237814,3.22099,10
1000,0.0434784,-0.00137262,3.221,10
0.01,0.144201,-0.0608355,3.28304,40
0.02,0.120757,-0.0464661,3.2862,40
0.03,0.11123,-0.0383664,3.2862,40
0.05,0.102295,-0.0299345,3.28646,40
0.08,0.0959755,-0.0240681,3.28658,40
0.1,0.0933931,-0.021789,3.28666,40
0.2,0.0866947,-0.0161506,3.28677,40
0.3,0.0835566,-0.0136469,3.28676,40
0.5,0.0802789,-0.0111341,3.28684,40
0.8,0.077799,-0.00937363,3.28686,40
1,0.0767613,-0.00871516,3.28691,40
2,0.0739023,-0.00725775,3.28694,40
3,0.0723982,-0.00676827,3.28698,40
5,0.0705463,-0.00639846,3.28703,40
8,0.0688939,-0.00628351,3.28703,40
10,0.0681006,-0.00632072,3.28706,40
11,0.0677723,-0.00639642,3.28705,40
21,0.0652795,-0.00671352,3.28707,40
31,0.0635645,-0.00705944,3.28707,40
61,0.0602153,-0.00747583,3.28709,40
81,0.0587066,-0.00751523,3.28708,40
100,0.0575588,-0.00747926,3.28708,40
110,0.0570203,-0.00744071,3.28707,40
210,0.0535073,-0.00683041,3.28708,40
310,0.0515053,-0.0061188,3.28707,40
510,0.0491805,-0.00479253,3.28708,40
810,0.0472002,-0.00307912,3.28708,40
1000,0.0463815,-0.00206601,3.28707,40
0.01,0.252749,-0.373443,3.48002,100
0.02,0.191369,-0.234534,3.47826,100
0.03,0.166299,-0.189323,3.47729,100
0.05,0.136965,-0.133294,3.47941,100
0.08,0.116909,-0.0969447,3.47971,100
0.1,0.109349,-0.0835376,3.48004,100
0.2,0.0920807,-0.0515378,3.48054,100
0.3,0.0854768,-0.0387834,3.48074,100
0.5,0.0796373,-0.0271723,3.48103,100
0.8,0.0758718,-0.0198111,3.48129,100
1,0.0744514,-0.0171886,3.48149,100
2,0.0709635,-0.0115027,3.48162,100
3,0.0693614,-0.00946894,3.48175,100
5,0.06757,-0.00780407,3.48183,100
8,0.0660414,-0.00692682,3.48188,100
10,0.0653524,-0.00674881,3.48193,100
11,0.0650377,-0.00668057,3.48197,100
21,0.0627776,-0.00674499,3.482,100
31,0.061146,-0.00700158,3.482,100
61,0.0579415,-0.00733105,3.48201,100
81,0.0564667,-0.0073957,3.482,100
100,0.055377,-0.00736042,3.48199,100
110,0.0548631,-0.00733462,3.48199,100
210,0.0513788,-0.00682185,3.48197,100
310,0.0493617,-0.00610108,3.48197,100
510,0.046979,-0.0048066,3.48197,100
810,0.0449687,-0.00305437,3.48197,100
1000,0.0441079,-0.00200881,3.48196,100
0.01,0.143558,-0.0551444,3.28978,60
0.02,0.121898,-0.0423044,3.29253,60
0.03,0.113076,-0.0345589,3.29246,60
0.05,0.105171,-0.0262493,3.29266,60
0.08,0.099972,-0.020474,3.29279,60
0.1,0.0979512,-0.0182811,3.29289,60
0.2,0.0928074,-0.0130721,3.293,60
0.3,0.0904566,-0.0108734,3.29303,60
0.5,0.087995,-0.00873522,3.29309,60
0.8,0.0861343,-0.00730567,3.29313,60
1,0.0853555,-0.00678034,3.29317,60
2,0.0831988,-0.00566574,3.2932,60
3,0.0820437,-0.00531221,3.29322,60
5,0.0805912,-0.00507412,3.29327,60
8,0.0792745,-0.00510515,3.29327,60
10,0.078606,-0.00511678,3.29328,60
11,0.0783305,-0.00517212,3.29329,60
21,0.0762952,-0.00549085,3.29331,60
31,0.0749169,-0.00575739,3.29332,60
61,0.0722154,-0.00628594,3.29331,60
81,0.0709696,-0.00643158,3.29331,60
100,0.0700174,-0.00649561,3.29329,60
110,0.0696014,-0.0064815,3.2933,60
210,0.0665952,-0.00640558,3.29329,60
310,0.0647538,-0.00611864,3.2933,60
510,0.062434,-0.00549633,3.2933,60
810,0.060272,-0.00450128,3.29331,60
1000,0.0592833,-0.00386028,3.29331,60
0.01,0.140623,-0.0692368,3.30891,65
0.02,0.11686,-0.0499632,3.31483,65
0.03,0.107609,-0.0401516,3.31609,65
0.05,0.0991424,-0.0303785,3.31702,65
0.08,0.0932991,-0.0237972,3.31754,65
0.1,0.0909545,-0.0212951,3.31787,65
0.2,0.0848945,-0.0152978,3.31816,65
0.3,0.0820947,-0.0127061,3.31825,65
0.5,0.0792002,-0.0101495,3.31836,65
0.8,0.0770484,-0.00838467,3.31845,65
1,0.0761615,-0.0077254,3.3185,65
2,0.0737769,-0.00629357,3.31856,65
3,0.0725354,-0.00583294,3.31861,65
5,0.0710247,-0.00554599,3.31864,65
8,0.0696431,-0.00558802,3.31868,65
10,0.06894,-0.00569918,3.31869,65
11,0.0686442,-0.00574597,3.3187,65
21,0.0663562,-0.00627846,3.3187,65
31,0.0647803,-0.00671184,3.31871,65
61,0.0615402,-0.00734764,3.31873,65
81,0.0600573,-0.00748842,3.31873,65
100,0.0588714,-0.00755247,3.31872,65
110,0.0583652,-0.00758906,3.31872,65
210,0.0546884,-0.00725054,3.31873,65
310,0.0525199,-0.0066142,3.31872,65
510,0.0498626,-0.00537764,3.31873,65
810,0.0475762,-0.00356523,3.31872,65
1000,0.0465999,-0.00247948,3.31873,65
0.01,0.121127,-0.0515648,3.32455,90
0.02,0.101201,-0.0383362,3.32673,90
0.03,0.0936912,-0.030775,3.32671,90
0.05,0.087147,-0.0230206,3.32693,90
0.08,0.0828316,-0.0178278,3.32708,90
0.1,0.0811421,-0.015879,3.3272,90
0.2,0.0767994,-0.0113171,3.32731,90
0.3,0.0747823,-0.00940195,3.32733,90
0.5,0.072672,-0.00755056,3.3274,90
0.8,0.0710686,-0.00629278,3.32744,90
1,0.0704078,-0.00583682,3.32747,90
2,0.0685903,-0.00484061,3.3275,90
3,0.0676293,-0.00455352,3.32752,90
5,0.0664395,-0.00442959,3.32753,90
8,0.0653244,-0.00452389,3.32756,90
10,0.0647539,-0.00466882,3.32759,90
11,0.0645047,-0.00471059,3.3276,90
21,0.0626112,-0.00527073,3.32759,90
31,0.061264,-0.00572129,3.32759,90
61,0.0584519,-0.0063325,3.32759,90
81,0.0571683,-0.0064832,3.32761,90
100,0.0561976,-0.00658487,3.32758,90
110,0.0557576,-0.00657986,3.32759,90
210,0.0525382,-0.00637639,3.32759,90
310,0.0506166,-0.00594046,3.32759,90
510,0.0482205,-0.00491236,3.32758,90
810,0.0461585,-0.00338937,3.3276,90
1000,0.0452458,-0.0024507,3.3276,90
0.01,0.139381,-0.0578147,3.28268,40
0.02,0.116888,-0.0447131,3.28593,40
0.03,0.107449,-0.0370591,3.28593,40
0.05,0.0986547,-0.0289079,3.28615,40
0.08,0.0925234,-0.0231539,3.28625,40
0.1,0.0900521,-0.0209249,3.28635,40
0.2,0.0836875,-0.0154423,3.28646,40
0.3,0.0807126,-0.0130364,3.28645,40
0.5,0.0776009,-0.0106628,3.28652,40
0.8,0.0752072,-0.0090313,3.28657,40
1,0.0741943,-0.00842229,3.28659,40
2,0.0713459,-0.00702171,3.28664,40
3,0.0698171,-0.00643702,3.28668,40
5,0.0680265,-0.00591088,3.2867,40
8,0.0664972,-0.0056176,3.28672,40
10,0.0657853,-0.00548264,3.28673,40
11,0.06551,-0.00544739,3.28674,40
21,0.0635144,-0.00550086,3.28676,40
31,0.0621726,-0.00564667,3.28677,40
61,0.0595989,-0.00590434,3.28676,40
81,0.0584262,-0.00595182,3.28676,40
100,0.0575498,-0.00593196,3.28675,40
110,0.0571331,-0.0059103,3.28675,40
210,0.0543121,-0.00553392,3.28674,40
310,0.0525933,-0.00500407,3.28677,40
510,0.0504994,-0.00385982,3.28674,40
810,0.0486339,-0.00221391,3.28675,40
1000,0.0478332,-0.00119402,3.28676,40
0.01,0.141733,-0.0607044,3.28139,35
0.02,0.118112,-0.0465859,3.28488,35
0.03,0.108363,-0.0385217,3.28495,35
0.05,0.0992843,-0.0301001,3.28522,35
0.08,0.09289,-0.0242168,3.28534,35
0.1,0.0902857,-0.0219355,3.28543,35
0.2,0.0835004,-0.0163064,3.28555,35
0.3,0.0803068,-0.0137907,3.28557,35
0.5,0.0769737,-0.0112658,3.28561,35
0.8,0.0744377,-0.00948663,3.28567,35
1,0.0733786,-0.00882057,3.2857,35
2,0.0704606,-0.00729811,3.28577,35
3,0.0689229,-0.0067412,3.28577,35
5,0.0670997,-0.00624667,3.28581,35
8,0.0655078,-0.00602578,3.28584,35
10,0.06476,-0.00601091,3.28584,35
11,0.0644106,-0.00599208,3.28586,35
21,0.0621414,-0.00623816,3.28588,35
31,0.0606046,-0.00647474,3.28588,35
61,0.0575773,-0.00682634,3.28588,35
81,0.0562221,-0.00691388,3.28586,35
100,0.0551459,-0.00687722,3.28588,35
110,0.0546709,-0.00687612,3.28588,35
210,0.0513949,-0.00639647,3.28587,35
310,0.0494867,-0.00577187,3.28588,35
510,0.0471505,-0.00450508,3.28588,35
810,0.0451583,-0.00278052,3.28586,35
1000,0.0443183,-0.00171315,3.28587,35
0.01,0.133083,-0.0619983,3.29257,55
0.02,0.109893,-0.0466763,3.29647,55
0.03,0.100642,-0.0380262,3.29695,55
0.05,0.0922171,-0.0290403,3.2975,55
0.08,0.0864532,-0.0228901,3.29782,55
0.1,0.0841591,-0.0205636,3.29802,55
0.2,0.0781695,-0.0149069,3.29823,55
0.3,0.0753926,-0.0124512,3.29828,55
0.5,0.0725029,-0.0100175,3.29838,55
0.8,0.0703302,-0.00831786,3.29844,55
1,0.0694369,-0.00767692,3.29848,55
2,0.0670197,-0.00625508,3.29853,55
3,0.0657384,-0.00573761,3.29857,55
5,0.0642304,-0.00539019,3.2986,55
8,0.062876,-0.00529046,3.29862,55
10,0.0622241,-0.00530296,3.29863,55
11,0.0619372,-0.00530456,3.29865,55
21,0.0598819,-0.00561892,3.29865,55
31,0.0584649,-0.00587358,3.29865,55
61,0.0557145,-0.00624462,3.29866,55
81,0.0544411,-0.00634249,3.29867,55
100,0.053478,-0.00636333,3.29866,55
110,0.0530286,-0.00632522,3.29866,55
210,0.0499692,-0.00591134,3.29865,55
310,0.0481669,-0.00534381,3.29867,55
510,0.0459869,-0.00415481,3.29866,55
810,0.0441333,-0.00250265,3.29866,55
1000,0.0433253,-0.00146783,3.29866,55
0.01,0.147789,-0.062346,3.28082,35
0.02,0.123958,-0.0477305,3.28457,35
0.03,0.114131,-0.0395306,3.28468,35
0.05,0.10487,-0.0309885,3.28498,35
0.08,0.0982633,-0.025003,3.28512,35
0.1,0.0955565,-0.0226691,3.28522,35
0.2,0.0885072,-0.0168733,3.28533,35
0.3,0.0851948,-0.014276,3.28535,35
0.5,0.0817372,-0.0116355,3.2854,35
0.8,0.0791241,-0.00977844,3.28545,35
1,0.0780373,-0.00907091,3.28547,35
2,0.0750748,-0.00746691,3.28556,35
3,0.0735212,-0.00688742,3.28559,35
5,0.0716789,-0.00645481,3.28562,35
8,0.0700443,-0.00628825,3.28562,35
10,0.0692625,-0.00631599,3.28564,35
11,0.0689385,-0.00633074,3.28565,35
21,0.0665172,-0.00673787,3.28565,35
31,0.0648125,-0.00710587,3.28568,35
61,0.0614647,-0.00763441,3.28568,35
81,0.0599366,-0.00774493,3.28567,35
100,0.058731,-0.00775999,3.28567,35
110,0.0582119,-0.00776113,3.28566,35
210,0.0544728,-0.00732422,3.28566,35
310,0.0522883,-0.00668493,3.28567,35
510,0.0496418,-0.00538333,3.28566,35
810,0.0473689,-0.00355845,3.28566,35
1000,0.0464001,-0.00245875,3.28566,35
0.01,0.150899,-0.0577067,3.28189,40
0.02,0.128426,-0.0445388,3.28539,40
0.03,0.119028,-0.0367078,3.28548,40
0.05,0.110409,-0.0283004,3.28577,40
0.08,0.104574,-0.0223796,3.28591,40
0.1,0.102263,-0.0200982,3.28601,40
0.2,0.0963929,-0.014628,3.28614,40
0.3,0.0936653,-0.0122767,3.28619,40
0.5,0.0908054,-0.0100067,3.28624,40
0.8,0.0886164,-0.0084658,3.28628,40
1,0.0876877,-0.0078983,3.28633,40
2,0.085071,-0.00667235,3.28637,40
3,0.0836493,-0.00626578,3.28639,40
5,0.081891,-0.00595628,3.28644,40
8,0.0803144,-0.0058477,3.28645,40
10,0.0795784,-0.00585601,3.28647,40
11,0.0792387,-0.00583313,3.28648,40
21,0.0769843,-0.00605575,3.28648,40
31,0.0755064,-0.00628867,3.28649,40
61,0.072598,-0.00670233,3.28649,40
81,0.0712915,-0.00679518,3.2865,40
100,0.0702969,-0.0068337,3.28649,40
110,0.0698074,-0.00686267,3.28648,40
210,0.0666896,-0.00664592,3.28649,40
310,0.0648092,-0.00633908,3.28647,40
510,0.0624389,-0.00564157,3.28649,40
810,0.0602458,-0.00457353,3.2865,40
1000,0.0592421,-0.00393888,3.2865,40
0.01,0.147202,-0.0616284,3.27912,35
0.02,0.123742,-0.0469631,3.28305,35
0.03,0.114105,-0.0387868,3.28329,35
0.05,0.105075,-0.0303135,3.28366,35
0.08,0.0986576,-0.0243921,3.28383,35
0.1,0.0960484,-0.0221008,3.28394,35
0.2,0.0892255,-0.0164459,3.28408,35
0.3,0.0860223,-0.0139412,3.2841,35
0.5,0.0826355,-0.0114147,3.28418,35
0.8,0.0800703,-0.00964912,3.28421,35
1,0.0789881,-0.00897753,3.28427,35
2,0.0760013,-0.00748409,3.28432,35
3,0.0744242,-0.00694861,3.28435,35
5,0.0725495,-0.00654092,3.28438,35
8,0.0708501,-0.00633601,3.2844,35
10,0.0700652,-0.00635578,3.28441,35
11,0.0697245,-0.00634821,3.28442,35
21,0.0673069,-0.00670717,3.28443,35
31,0.0656166,-0.00706768,3.28444,35
61,0.0623164,-0.00755787,3.28445,35
81,0.0607943,-0.00767761,3.28444,35
100,0.0596155,-0.00773176,3.28444,35
110,0.0591308,-0.00769071,3.28444,35
210,0.0554588,-0.00735058,3.28444,35
310,0.0533417,-0.00679408,3.28444,35
510,0.0507197,-0.0056635,3.28442,35
810,0.0484777,-0.00407076,3.28443,35
1000,0.0475226,-0.00312789,3.28445,35
0.01,0.144909,-0.0541006,3.28682,55
0.02,0.123315,-0.0420299,3.28953,55
0.03,0.114426,-0.0345284,3.28943,55
0.05,0.106409,-0.0264072,3.28963,55
0.08,0.101078,-0.0207047,3.28973,55
0.1,0.0990031,-0.0185334,3.28982,55
0.2,0.0937225,-0.0133284,3.28993,55
0.3,0.0912917,-0.0111282,3.28995,55
0.5,0.0887538,-0.00899279,3.29002,55
0.8,0.0868209,-0.00753943,3.29006,55
1,0.0860183,-0.00701708,3.2901,55
2,0.083761,-0.00589226,3.29014,55
3,0.0825444,-0.00552907,3.29016,55
5,0.0810371,-0.00532629,3.29018,55
8,0.0796351,-0.00528502,3.29021,55
10,0.0789407,-0.00532179,3.29022,55
11,0.0786491,-0.00534244,3.29023,55
21,0.0765574,-0.00566342,3.29025,55
31,0.0751561,-0.00594021,3.29024,55
61,0.0723731,-0.00643147,3.29025,55
81,0.0711419,-0.00654807,3.29023,55
100,0.0701474,-0.0066186,3.29022,55
110,0.0696864,-0.00663574,3.29023,55
210,0.066656,-0.00649435,3.29023,55
310,0.0648036,-0.00620725,3.29024,55
510,0.0624661,-0.0055549,3.29023,55
810,0.0602891,-0.00453414,3.29024,55
1000,0.0593011,-0.00388609,3.29024,55
0.01,0.164845,-0.0682021,3.19905,15
0.02,0.140015,-0.0519843,3.20286,15
0.03,0.129367,-0.0429687,3.20302,15
0.05,0.119331,-0.0334695,3.20338,15
0.08,0.112315,-0.0267775,3.20355,15
0.1,0.109496,-0.0241839,3.20369,15
0.2,0.102197,-0.0179377,3.20384,15
0.3,0.0987552,-0.0152328,3.20389,15
0.5,0.095082,-0.0126023,3.20394,15
0.8,0.0922152,-0.0108046,3.20399,15
1,0.0909675,-0.010115,3.20404,15
2,0.0874486,-0.00853191,3.20409,15
3,0.0855439,-0.00788178,3.20413,15
5,0.0833018,-0.00725002,3.20416,15
8,0.081402,-0.00681466,3.20419,15
10,0.0805406,-0.00669083,3.20421,15
11,0.0802001,-0.0066125,3.20421,15
21,0.0777615,-0.00651926,3.20422,15
31,0.0762367,-0.00667663,3.20424,15
61,0.073227,-0.00692151,3.20426,15
81,0.0718988,-0.00697122,3.20423,15
100,0.0708948,-0.0069565,3.20422,15
110,0.0703985,-0.0069361,3.20423,15
210,0.0672686,-0.00664203,3.20423,15
310,0.0654208,-0.00627013,3.20423,15
510,0.0631184,-0.00553666,3.20423,15
810,0.0610197,-0.00451772,3.20424,15
1000,0.0600619,-0.00387495,3.20424,15
0.01,0.12946,-0.0606486,3.32165,70
0.02,0.107067,-0.0445014,3.32495,70
0.03,0.0984282,-0.0357718,3.32514,70
0.05,0.0907553,-0.0269419,3.3255,70
0.08,0.0856042,-0.0210066,3.32572,70
0.1,0.0835643,-0.0187732,3.32585,70
0.2,0.0783036,-0.0134623,3.32598,70
0.3,0.0758597,-0.0112017,3.32603,70
0.5,0.0733016,-0.00897342,3.3261,70
0.8,0.0713864,-0.00744937,3.32615,70
1,0.0705965,-0.00688962,3.32619,70
2,0.0684389,-0.0056377,3.32623,70
3,0.0673043,-0.00521351,3.32625,70
5,0.0659389,-0.00497536,3.32627,70
8,0.064676,-0.00494689,3.32631,70
10,0.0640604,-0.004995,3.32631,70
11,0.0637727,-0.00502457,3.32632,70
21,0.0618174,-0.00536446,3.32633,70
31,0.0604756,-0.00570941,3.32635,70
61,0.0577442,-0.00616688,3.32635,70
81,0.0565313,-0.00628418,3.32633,70
100,0.0555813,-0.00633652,3.32635,70
110,0.0551229,-0.00632771,3.32632,70
210,0.0521059,-0.0060828,3.32633,70
310,0.0502673,-0.00561902,3.32634,70
510,0.0480112,-0.00461128,3.32634,70
810,0.0460175,-0.00309893,3.32634,70
1000,0.0451658,-0.00218721,3.32635,70
0.01,0.123964,-0.0555035,3.32426,80
0.02,0.10262,-0.0411617,3.3267,80
0.03,0.0945182,-0.0331278,3.32669,80
0.05,0.0873753,-0.0249346,3.32692,80
0.08,0.0826124,-0.0194077,3.32707,80
0.1,0.0807329,-0.0173243,3.32719,80
0.2,0.0758963,-0.0123963,3.32728,80
0.3,0.073662,-0.0103031,3.32732,80
0.5,0.071318,-0.008243,3.32738,80
0.8,0.0695629,-0.00682047,3.32742,80
1,0.0688382,-0.0062958,3.32745,80
2,0.066888,-0.00515276,3.3275,80
3,0.0658693,-0.00477023,3.32753,80
5,0.0646398,-0.00455254,3.32753,80
8,0.0634914,-0.00457091,3.32757,80
10,0.0629225,-0.00464274,3.32757,80
11,0.0626677,-0.00470065,3.32757,80
21,0.0608222,-0.00521652,3.32758,80
31,0.0594798,-0.00551985,3.32758,80
61,0.0568188,-0.0060832,3.3276,80
81,0.0555938,-0.00619949,3.32759,80
100,0.0546822,-0.00626893,3.32758,80
110,0.0541813,-0.00627286,3.32759,80
210,0.0511223,-0.00598389,3.32759,80
310,0.0492613,-0.00551845,3.32759,80
510,0.0469814,-0.00439654,3.32758,80
810,0.0449745,-0.00270451,3.3276,80
1000,0.0441066,-0.00165984,3.32759,80
0.01,0.134687,-0.0618733,3.32262,70
0.02,0.111873,-0.0454698,3.32571,70
0.03,0.103092,-0.0366265,3.32586,70
0.05,0.0952399,-0.0276638,3.32617,70
0.08,0.089931,-0.0216129,3.32636,70
0.1,0.0878264,-0.0193306,3.32652,70
0.2,0.0823819,-0.0138822,3.32664,70
0.3,0.0798513,-0.011561,3.32668,70
0.5,0.0772219,-0.00928526,3.32674,70
0.8,0.0752322,-0.00772647,3.32679,70
1,0.0744178,-0.00714012,3.32684,70
2,0.0721646,-0.00587367,3.32688,70
3,0.0710059,-0.00550202,3.32691,70
5,0.0695511,-0.00525713,3.32693,70
8,0.0681942,-0.00526308,3.32695,70
10,0.0675361,-0.0053558,3.32696,70
11,0.0672538,-0.00540381,3.32697,70
21,0.0650935,-0.00583568,3.32698,70
31,0.063583,-0.00619117,3.32698,70
61,0.0606477,-0.00669294,3.32698,70
81,0.0592896,-0.00681467,3.32698,70
100,0.0582425,-0.00682884,3.32698,70
110,0.0577617,-0.00681606,3.32698,70
210,0.0544878,-0.00645721,3.32698,70
310,0.0526108,-0.0058926,3.327,70
510,0.0503463,-0.00480495,3.32698,70
810,0.0484129,-0.00333021,3.32698,70
1000,0.0475747,-0.00244967,3.32698,70
0.01,0.138855,-0.0590498,3.28433,45
0.02,0.116126,-0.0447455,3.28717,45
0.03,0.106995,-0.0366554,3.28714,45
0.05,0.0986138,-0.0282633,3.28736,45
0.08,0.092822,-0.0224621,3.28749,45
0.1,0.090499,-0.0202436,3.28756,45
0.2,0.084472,-0.0148469,3.28765,45
0.3,0.0816486,-0.0124877,3.28767,45
0.5,0.0786988,-0.0101635,3.28772,45
0.8,0.0764722,-0.00857676,3.28777,45
1,0.0755305,-0.0079705,3.28782,45
2,0.0729385,-0.00669711,3.28786,45
3,0.0715441,-0.00627185,3.28788,45
5,0.0698338,-0.00599957,3.28791,45
8,0.068273,-0.00597517,3.28791,45
10,0.0675111,-0.00600715,3.28794,45
11,0.0671903,-0.00606173,3.28795,45
21,0.0647721,-0.00649276,3.28795,45
31,0.063134,-0.00677174,3.28796,45
61,0.0598954,-0.0072304,3.28797,45
81,0.0584112,-0.00730414,3.28797,45
100,0.0573088,-0.00727206,3.28795,45
110,0.0567838,-0.00728226,3.28795,45
210,0.0533546,-0.00672136,3.28795,45
310,0.0514158,-0.00605267,3.28796,45
510,0.0491293,-0.00483909,3.28796,45
810,0.0471827,-0.0032258,3.28796,45
1000,0.0463698,-0.00229592,3.28796,45
0.01,0.1584,-0.162311,3.38362,100
0.02,0.133463,-0.0989743,3.38733,100
0.03,0.122726,-0.0759103,3.38773,100
0.05,0.111326,-0.0550058,3.3883,100
0.08,0.102789,-0.0415453,3.38856,100
0.1,0.0993624,-0.0365948,3.38875,100
0.2,0.0904474,-0.0245635,3.38897,100
0.3,0.0865557,-0.0195352,3.38901,100
0.5,0.0827291,-0.0147012,3.38912,100
0.8,0.0800576,-0.0114479,3.38921,100
1,0.0790166,-0.0102477,3.38928,100
2,0.0763459,-0.00761533,3.38936,100
3,0.0750547,-0.00670549,3.3894,100
5,0.0735179,-0.00604351,3.38944,100
8,0.072153,-0.00586069,3.38948,100
10,0.071484,-0.00592744,3.38948,100
11,0.0711701,-0.00594839,3.38951,100
21,0.0689116,-0.00648101,3.38952,100
31,0.0672747,-0.00687228,3.38953,100
61,0.0639591,-0.00750571,3.38954,100
81,0.0624267,-0.00762927,3.38952,100
100,0.0612808,-0.00768514,3.38951,100
110,0.0607462,-0.00767464,3.38951,100
210,0.0570468,-0.00725093,3.38951,100
310,0.0549111,-0.00665703,3.38952,100
510,0.0523309,-0.00545204,3.38953,100
810,0.0501003,-0.00374046,3.38952,100
1000,0.0491552,-0.00273679,3.38951,100
0.01,0.140031,-0.0550089,3.32468,85
0.02,0.118003,-0.0415231,3.32707,85
0.03,0.109409,-0.0335415,3.32694,85
0.05,0.101924,-0.0251766,3.32711,85
0.08,0.0970828,-0.0194488,3.32724,85
0.1,0.0952046,-0.0172825,3.32735,85
0.2,0.0905024,-0.012215,3.32743,85
0.3,0.0883535,-0.0101043,3.32749,85
0.5,0.0861142,-0.00806702,3.32753,85
0.8,0.0844259,-0.00671437,3.32757,85
1,0.08371,-0.00620381,3.32763,85
2,0.081768,-0.00514158,3.32764,85
3,0.0807651,-0.00482593,3.32769,85
5,0.0794856,-0.00466482,3.32771,85
8,0.0783076,-0.00469227,3.32771,85
10,0.0777166,-0.00478762,3.32773,85
11,0.0774634,-0.0048396,3.32774,85
21,0.0755468,-0.00530775,3.32775,85
31,0.0742032,-0.00570999,3.32776,85
61,0.0715096,-0.00632233,3.32775,85
81,0.0702361,-0.00650965,3.32774,85
100,0.0692952,-0.00660859,3.32774,85
110,0.0688392,-0.00663887,3.32773,85
210,0.0657472,-0.00664385,3.32775,85
310,0.063868,-0.00644259,3.32775,85
510,0.0614373,-0.00588108,3.32774,85
810,0.059191,-0.00495149,3.32773,85
1000,0.0581822,-0.00435091,3.32773,85
0.01,0.189329,-0.0743124,3.19938,10
0.02,0.161948,-0.0570779,3.20355,10
0.03,0.149991,-0.0476272,3.20356,10
0.05,0.138477,-0.0377307,3.20386,10
0.08,0.130194,-0.0306984,3.20397,10
0.1,0.126777,-0.0279343,3.20406,10
0.2,0.117918,-0.0211551,3.20417,10
0.3,0.113678,-0.0181305,3.20415,10
0.5,0.109133,-0.0150969,3.20421,10
0.8,0.105578,-0.0129567,3.20426,10
1,0.104033,-0.0121057,3.20432,10
2,0.0997559,-0.010048,3.20436,10
3,0.0975144,-0.00911912,3.20442,10
5,0.0949528,-0.00812592,3.20445,10
8,0.0928892,-0.00742031,3.20448,10
10,0.0919949,-0.00717594,3.20449,10
11,0.0915999,-0.00708419,3.20451,10
21,0.0891708,-0.00682699,3.20452,10
31,0.0876163,-0.00689294,3.20453,10
61,0.0847026,-0.00723677,3.20453,10
81,0.0833715,-0.00741073,3.20453,10
100,0.0823744,-0.00752933,3.20452,10
110,0.0818785,-0.00755807,3.20453,10
210,0.0786271,-0.00777975,3.20452,10
310,0.0765233,-0.00781887,3.20453,10
510,0.0738034,-0.007771,3.20453,10
810,0.0711149,-0.00753828,3.20453,10
1000,0.0698017,-0.00734676,3.20451,10
0.01,0.13388,-0.0549162,3.28589,55
0.02,0.112342,-0.0424551,3.28877,55
0.03,0.103478,-0.0350018,3.28874,55
0.05,0.0953433,-0.0270526,3.28897,55
0.08,0.0897572,-0.021505,3.28909,55
0.1,0.0875206,-0.0193702,3.28918,55
0.2,0.0817624,-0.0141593,3.28929,55
0.3,0.0790947,-0.0118961,3.2893,55
0.5,0.0763045,-0.00966943,3.28935,55
0.8,0.0741809,-0.00816058,3.2894,55
1,0.0732728,-0.00757554,3.28946,55
2,0.0707495,-0.00630619,3.28948,55
3,0.0694038,-0.00583594,3.28952,55
5,0.0677797,-0.00542906,3.28954,55
8,0.0663867,-0.00525146,3.28956,55
10,0.0657098,-0.00517095,3.28958,55
11,0.0654252,-0.00518772,3.2896,55
21,0.0634818,-0.00531984,3.28958,55
31,0.0621998,-0.00544977,3.2896,55
61,0.0596776,-0.00580363,3.28961,55
81,0.0585277,-0.00585815,3.2896,55
100,0.0576369,-0.0058703,3.2896,55
110,0.0572339,-0.00586245,3.28959,55
210,0.0544361,-0.00548052,3.28958,55
310,0.0527197,-0.00498852,3.2896,55
510,0.0505903,-0.00387901,3.2896,55
810,0.04875,-0.00222292,3.28959,55
1000,0.0479293,-0.00122031,3.28958,55
0.01,0.147491,-0.0586669,3.28336,45
0.02,0.124776,-0.0450429,3.28645,45
0.03,0.115492,-0.0372923,3.28645,45
0.05,0.106756,-0.0291716,3.28669,45
0.08,0.100571,-0.0235084,3.2868,45
0.1,0.0980508,-0.0213107,3.28688,45
0.2,0.0914626,-0.0158396,3.28699,45
0.3,0.0883789,-0.0133928,3.287,45
0.5,0.0851461,-0.0109453,3.28705,45
0.8,0.0826988,-0.0092289,3.28708,45
1,0.0816758,-0.00858429,3.28714,45
2,0.0788711,-0.0071869,3.28717,45
3,0.0773649,-0.00672157,3.2872,45
5,0.0755442,-0.00637599,3.28723,45
8,0.0738972,-0.00630011,3.28726,45
10,0.073094,-0.00632178,3.28727,45
11,0.0727569,-0.00636104,3.2873,45
21,0.0702479,-0.00675682,3.28728,45
31,0.0685624,-0.00719216,3.28729,45
61,0.0651374,-0.00765208,3.2873,45
81,0.0636003,-0.00777814,3.2873,45
100,0.0624007,-0.00775498,3.28731,45
110,0.061862,-0.00772335,3.28729,45
210,0.058217,-0.00721023,3.28729,45
310,0.0560969,-0.00656154,3.2873,45
